TABLE_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
customer_service_user_assignments	customer_service_user_assignments_ibfk_3	FOREIGN KEY	assigned_by	users	user_id
customer_service_user_assignments	PRIMARY	PRIMARY KEY	customer_service_user_assignment_id	NULL	NULL
customer_service_user_assignments	uk_cs_user_assign_active	UNIQUE	user_id	NULL	NULL
customer_service_user_assignments	uk_cs_user_assign_active	UNIQUE	status	NULL	NULL
decoration_season	PRIMARY	PRIMARY KEY	decoration_season_id	NULL	NULL
decoration_season	uk_decoration_season_code	UNIQUE	season_code	NULL	NULL
decoration_sku	decoration_sku_ibfk_1	FOREIGN KEY	decoration_season_id	decoration_season	decoration_season_id
decoration_sku	PRIMARY	PRIMARY KEY	decoration_sku_id	NULL	NULL
decoration_sku	uk_decoration_sku_code	UNIQUE	decoration_code	NULL	NULL
diy_materials	diy_materials_image_media_id_foreign_idx	FOREIGN KEY	image_media_id	media_files	media_id
diy_materials	material_code	UNIQUE	material_code	NULL	NULL
diy_materials	PRIMARY	PRIMARY KEY	diy_material_id	NULL	NULL
diy_templates	diy_templates_base_image_media_id_foreign_idx	FOREIGN KEY	base_image_media_id	media_files	media_id
diy_templates	diy_templates_ibfk_1	FOREIGN KEY	category_id	categories	category_id
diy_templates	diy_templates_preview_media_id_foreign_idx	FOREIGN KEY	preview_media_id	media_files	media_id
diy_templates	PRIMARY	PRIMARY KEY	diy_template_id	NULL	NULL
diy_templates	uk_diy_templates_template_code	UNIQUE	template_code	NULL	NULL
diy_works	diy_works_account_id_foreign_idx	FOREIGN KEY	account_id	accounts	account_id
diy_works	diy_works_ibfk_2	FOREIGN KEY	diy_template_id	diy_templates	diy_template_id
diy_works	diy_works_item_id_foreign_idx	FOREIGN KEY	item_id	items	item_id
diy_works	diy_works_preview_media_id_foreign_idx	FOREIGN KEY	preview_media_id	media_files	media_id
diy_works	PRIMARY	PRIMARY KEY	diy_work_id	NULL	NULL
diy_works	uk_diy_works_idempotency_key	UNIQUE	idempotency_key	NULL	NULL
diy_works	uk_diy_works_work_code	UNIQUE	work_code	NULL	NULL
event_budget_collection_rules	fk_ebcr_lottery_campaign	FOREIGN KEY	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
event_budget_collection_rules	PRIMARY	PRIMARY KEY	collection_rule_id	NULL	NULL
