TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE	SEQ_IN_INDEX	INDEX_TYPE
categories	icon_media_id	icon_media_id	1	1	BTREE
categories	idx_categories_enabled_level	is_enabled	1	1	BTREE
categories	idx_categories_enabled_level	level	1	2	BTREE
categories	idx_categories_level_sort	level	1	1	BTREE
categories	idx_categories_level_sort	sort_order	1	2	BTREE
categories	idx_categories_parent	parent_category_id	1	1	BTREE
categories	PRIMARY	category_id	0	1	BTREE
category_attributes	attribute_id	attribute_id	1	1	BTREE
category_attributes	PRIMARY	id	0	1	BTREE
category_attributes	uk_category_attribute	category_id	0	1	BTREE
category_attributes	uk_category_attribute	attribute_id	0	2	BTREE
chat_messages	idx_chat_messages_created_at	created_at	1	1	BTREE
chat_messages	idx_chat_messages_sender_id	sender_id	1	1	BTREE
chat_messages	idx_chat_messages_session_id	customer_service_session_id	1	1	BTREE
chat_messages	idx_chat_messages_source_type	message_source	1	1	BTREE
chat_messages	idx_chat_messages_source_type	sender_type	1	2	BTREE
chat_messages	idx_chat_messages_temp_message_id	temp_message_id	1	1	BTREE
chat_messages	new_message_id	chat_message_id	0	1	BTREE
chat_messages	PRIMARY	chat_message_id	0	1	BTREE
consumption_records	idx_anomaly_score	anomaly_score	1	1	BTREE
consumption_records	idx_consumption_final_status	final_status	1	1	BTREE
consumption_records	idx_consumption_final_status	settled_at	1	2	BTREE
consumption_records	idx_consumption_is_deleted	is_deleted	1	1	BTREE
consumption_records	idx_consumption_records_reward_tx_id	reward_transaction_id	1	1	BTREE
consumption_records	idx_consumption_store_merchant	store_id	1	1	BTREE
consumption_records	idx_consumption_store_merchant	merchant_id	1	2	BTREE
consumption_records	idx_consumption_store_merchant	created_at	1	3	BTREE
consumption_records	idx_consumption_store_status	store_id	1	1	BTREE
consumption_records	idx_consumption_store_status	status	1	2	BTREE
consumption_records	idx_consumption_store_status	created_at	1	3	BTREE
consumption_records	idx_cr_status_created_at	status	1	1	BTREE
consumption_records	idx_cr_status_created_at	created_at	1	2	BTREE
consumption_records	idx_merchant_time	merchant_id	1	1	BTREE
consumption_records	idx_merchant_time	created_at	1	2	BTREE
consumption_records	idx_qr_code	qr_code	1	1	BTREE
consumption_records	idx_reviewed	reviewed_by	1	1	BTREE
consumption_records	idx_reviewed	reviewed_at	1	2	BTREE
consumption_records	idx_status_anomaly	status	1	1	BTREE
consumption_records	idx_status_anomaly	anomaly_score	1	2	BTREE
consumption_records	idx_status_created	status	1	1	BTREE
consumption_records	idx_status_created	created_at	1	2	BTREE
consumption_records	idx_user_status	user_id	1	1	BTREE
consumption_records	idx_user_status	status	1	2	BTREE
consumption_records	idx_user_status	created_at	1	3	BTREE
consumption_records	PRIMARY	consumption_record_id	0	1	BTREE
consumption_records	uk_consumption_records_business_id	business_id	0	1	BTREE
consumption_records	uk_consumption_records_idempotency_key	idempotency_key	0	1	BTREE
consumption_records	uk_consumption_records_order_no	order_no	0	1	BTREE
content_review_records	idx_audit_records_auditor	auditor_id	1	1	BTREE
content_review_records	idx_audit_records_created	created_at	1	1	BTREE
content_review_records	idx_audit_records_priority_time	priority	1	1	BTREE
content_review_records	idx_audit_records_priority_time	submitted_at	1	2	BTREE
content_review_records	idx_audit_records_status	audit_status	1	1	BTREE
content_review_records	PRIMARY	content_review_record_id	0	1	BTREE
content_review_records	uk_content_review_auditable	auditable_type	0	1	BTREE
content_review_records	uk_content_review_auditable	auditable_id	0	2	BTREE
customer_service_agents	idx_cs_agents_auto_assign	is_auto_assign_enabled	1	1	BTREE
customer_service_agents	idx_cs_agents_auto_assign	status	1	2	BTREE
customer_service_agents	idx_cs_agents_status_priority	status	1	1	BTREE
customer_service_agents	idx_cs_agents_status_priority	priority	1	2	BTREE
customer_service_agents	PRIMARY	customer_service_agent_id	0	1	BTREE
customer_service_agents	user_id	user_id	0	1	BTREE
customer_service_issues	created_by	created_by	1	1	BTREE
customer_service_issues	idx_cs_issues_assigned_to	assigned_to	1	1	BTREE
customer_service_issues	idx_cs_issues_created_at	created_at	1	1	BTREE
customer_service_issues	idx_cs_issues_status	status	1	1	BTREE
customer_service_issues	idx_cs_issues_type	issue_type	1	1	BTREE
customer_service_issues	idx_cs_issues_user_id	user_id	1	1	BTREE
customer_service_issues	idx_csi_trade_order_id	trade_order_id	1	1	BTREE
customer_service_issues	PRIMARY	issue_id	0	1	BTREE
customer_service_issues	session_id	session_id	1	1	BTREE
customer_service_notes	author_id	author_id	1	1	BTREE
customer_service_notes	idx_cs_notes_issue_id	issue_id	1	1	BTREE
customer_service_notes	idx_cs_notes_user_id	user_id	1	1	BTREE
customer_service_notes	PRIMARY	note_id	0	1	BTREE
customer_service_notes	session_id	session_id	1	1	BTREE
customer_service_sessions	idx_closed_by	closed_by	1	1	BTREE
customer_service_sessions	idx_cs_sessions_issue_id	issue_id	1	1	BTREE
customer_service_sessions	idx_css_admin_status	admin_id	1	1	BTREE
customer_service_sessions	idx_css_admin_status	status	1	2	BTREE
customer_service_sessions	idx_css_status_created_at	status	1	1	BTREE
customer_service_sessions	idx_css_status_created_at	created_at	1	2	BTREE
customer_service_sessions	idx_customer_sessions_admin_id	admin_id	1	1	BTREE
customer_service_sessions	idx_customer_sessions_created_at	created_at	1	1	BTREE
customer_service_sessions	idx_customer_sessions_status	status	1	1	BTREE
customer_service_sessions	idx_customer_sessions_user_id	user_id	1	1	BTREE
customer_service_sessions	idx_user_active_session	user_id	0	1	BTREE
customer_service_sessions	idx_user_active_session	is_active_session	0	2	BTREE
customer_service_sessions	PRIMARY	customer_service_session_id	0	1	BTREE
customer_service_user_assignments	assigned_by	assigned_by	1	1	BTREE
customer_service_user_assignments	idx_cs_user_assign_agent	agent_id	1	1	BTREE
customer_service_user_assignments	idx_cs_user_assign_agent	status	1	2	BTREE
customer_service_user_assignments	idx_cs_user_assign_status	status	1	1	BTREE
customer_service_user_assignments	PRIMARY	customer_service_user_assignment_id	0	1	BTREE
customer_service_user_assignments	uk_cs_user_assign_active	user_id	0	1	BTREE
customer_service_user_assignments	uk_cs_user_assign_active	status	0	2	BTREE
diy_materials	idx_diy_materials_category	category_id	1	1	BTREE
diy_materials	idx_diy_materials_diameter	diameter	1	1	BTREE
diy_materials	idx_diy_materials_enabled_sort	is_enabled	1	1	BTREE
diy_materials	idx_diy_materials_enabled_sort	sort_order	1	2	BTREE
diy_materials	idx_diy_materials_group	group_code	1	1	BTREE
diy_materials	material_code	material_code	0	1	BTREE
diy_materials	PRIMARY	diy_material_id	0	1	BTREE
diy_templates	diy_templates_base_image_media_id_foreign_idx	base_image_media_id	1	1	BTREE
